frame,size,state
5,Large,Unripe
37,Medium,Unripe
45,Medium,Unripe
53,Medium,Ripe
85,Medium,Ripe
93,Medium,Ripe
197,Medium,Ripe
213,Small,Ripe
245,Medium,Unripe
269,Small,Ripe
300,Medium,Ripe
309,Small,Unripe
396,Large,Unripe
453,Small,Unripe
461,Medium,Ripe
469,Medium,Ripe
477,Medium,Ripe
532,Large,Ripe
549,Medium,Ripe
573,Small,Unripe
605,Medium,Ripe
621,Medium,Ripe
629,Medium,Ripe
637,Small,Ripe
645,Large,Ripe
669,Medium,Ripe
685,Medium,Unripe
693,Medium,Ripe
733,Large,Ripe
757,Medium,Ripe
781,Medium,Ripe
790,Medium,Unripe
830,Medium,Ripe
